# HX Stomp Model Aliases Reference
# -----------------------------------------------------------------------
# MAINTENANCE NOTE: Keep this file in sync with hx_models.py whenever
# aliases are added, removed, or corrected. The source of truth is the
# aliases list on each HXModel entry. This CSV is for human review only
# and is NOT read by the application.
# -----------------------------------------------------------------------
# Columns:
#   model_id        — firmware ID used in .hlx files
#   name            — Line 6 display name
#   category        — Amp | Distortion | Delay | Reverb | Modulation | Compressor | Gate | EQ
#   gear_aliases    — real-world hardware names (used for LLM hint matching)
#   artist_aliases  — artists / bands / songs / styles (used for LLM hint matching)
# -----------------------------------------------------------------------

model_id,name,category,gear_aliases,artist_aliases
HD2_AmpSoupPro,Soup Pro,Amp,"Supro Thunderbolt, Supro",
HD2_AmpMailOrderTwin,Mail Order Twin,Amp,"Silvertone 1484, Silvertone",
HD2_AmpInterstateZed,Interstate Zed,Amp,"Dr. Z Z-Wreck, Dr Z, Z-Wreck, Carol-Ann, Carol Ann",
HD2_AmpDividedDuo,Divided Duo,Amp,"Divided by 13, DB13, JRT 9/15",
HD2_AmpHiway100,Hiway 100,Amp,"Hiwatt, Hiwatt DR103, DR103","David Gilmour, Pink Floyd, The Who, Pete Townshend"
HD2_AmpWhoWatt100,Who Watt 100,Amp,"Hiwatt Who Watt, Who Watt, Hiwatt 100",

# --- DISTORTION / OVERDRIVE ---
HD2_DistScream808,Scream 808,Distortion,"Tube Screamer, TS808, TS-808, TS9, Ibanez TS",
HD2_DistMinotaur,Minotaur,Distortion,"Klon Centaur, Klon, Centaur",
HD2_DistTeemah,Teemah,Distortion,"Timmy, Paul Cochrane Timmy",
HD2_DistKinkyBoost,Kinky Boost,Distortion,"EP Booster, Xotic EP",
HD2_DistVerminDist,Vermin Dist,Distortion,"ProCo RAT, Pro Co RAT, RAT pedal",
HD2_DistArbitratorFuzz,Arbitrator Fuzz,Distortion,"Fuzz Face, Arbiter Fuzz, Dallas Fuzz",
HD2_DistRamsHead,Rams Head,Distortion,"Big Muff, Big Muff Pi, EHX Muff",
HD2_DistHeirApparent,Heir Apparent,Distortion,"Fulltone OCD, OCD pedal",
HD2_DistDerangedMstr,Deranged Mstr,Distortion,"Dallas Rangemaster, Rangemaster, treble booster",
HD2_DistPillarsOD,Pillars OD,Distortion,"Pillars OD, Line 6 OD",
HD2_DistStunner808,Stunner 808,Distortion,"heavy Tube Screamer, TS variant, 808 boost",
HD2_DistDeezOneVintage,Deez One Vintage,Distortion,"Deez One, Wampler Sovereign, sovereign distortion",
HD2_DistSplitBand,Split Band,Distortion,"split band distortion, frequency split dist",

# --- DELAY ---
HD2_DelaySimpleDelay,Simple Delay,Delay,"MXR Carbon Copy, Carbon Copy",
HD2_DelayTransistorTape,Transistor Tape,Delay,"Memory Man, EHX Memory Man, Strymon El Capistan, El Capistan",
HD2_DelayBucketBrigade,Bucket Brigade,Delay,"BBD delay, bucket brigade analog",
HD2_DelayElephantMan,Elephant Man,Delay,"Echoplex, Maestro Echoplex, EP3",
HD2_DelayPingPong,Ping Pong,Delay,"ping-pong delay, stereo delay",
HD2_DelayAdriaticDelay,Adriatic Delay,Delay,"TC delay, Nova Delay, digital delay",
HD2_DelayCosmos,Cosmos,Delay,"Space Echo, Roland RE-201, RE-201",
HD2_DelayReverse,Reverse Delay,Delay,"reverse delay, backwards delay",

# --- REVERB ---
HD2_ReverbPlate,Plate,Reverb,"plate reverb, EMT 140, studio plate",
HD2_Reverb63Spring,63 Spring,Reverb,"spring reverb, surf reverb, Fender spring tank",
HD2_ReverbRoom,Room,Reverb,"room reverb, small room",
HD2_ReverbHall,Hall,Reverb,"hall reverb, concert hall",
HD2_ReverbGanymede,Ganymede,Reverb,"shimmer reverb, BigSky shimmer, shimmer",
HD2_ReverbSearchlights,Searchlights,Reverb,"modulated reverb, mod reverb",
HD2_ReverbOcto,Octo,Reverb,"octave shimmer, shimmer octave, octo reverb",
HD2_ReverbCave,Cave,Reverb,"cave reverb, cavernous reverb",
HD2_ReverbPlateaux,Plateaux,Reverb,"infinite reverb, freeze reverb, pad reverb",

# --- MODULATION ---
HD2_Chorus,Chorus,Modulation,"chorus, Boss CE-2, Dimension D, chorus pedal",
HD2_TremoloTremolo,Tremolo,Modulation,"tremolo, optical trem, Fender tremolo, trem",
HD2_FlangerGrayFlanger,Gray Flanger,Modulation,"MXR Flanger, MXR 117, 117 Flanger",
HD2_PhaserScriptModPhase,Script Mod Phase,Modulation,"MXR Phase 90, Phase 90, Phase 45",
HD2_Rotary145Rotary,Rotary 145,Modulation,"Leslie 145, Leslie, rotary speaker",
HD2_ModUniVibe,Uni Vibe,Modulation,"Uni-Vibe, Univibe, Shin-ei Univibe",
HD2_ModCE1Chorus,CE-1 Chorus,Modulation,"Roland CE-1, CE-1, CE1",
HD2_TremoloHarmonic,Harmonic Tremolo,Modulation,"harmonic trem, brownface tremolo, bias tremolo",
HD2_TremoloPattern,Pattern Tremolo,Modulation,"rhythmic tremolo, pattern trem, sequenced tremolo",

# --- COMPRESSOR ---
HD2_CompressorRedSqueeze,Red Squeeze,Compressor,"Dyna Comp, MXR Dyna Comp, MXR compressor",
HD2_CompressorDeluxeComp,Deluxe Comp,Compressor,"Diamond CPR1, Diamond compressor",
HD2_CompressorKinkyComp,Kinky Comp,Compressor,"Xotic SP, SP Compressor",
HD2_CompressorLAStudioComp,LA Studio Comp,Compressor,"LA-2A, LA2A, optical compressor, Teletronix",

# --- GATE ---
HD2_GateNoiseGate,Noise Gate,Gate,"noise gate, gate, noisegate",

# --- EQ ---
HD2_EQParametric,Parametric EQ,EQ,,
HD2_EQLowCutHighCut,Low Cut High Cut,EQ,,
HD2_EQGraphic10Band,Graphic 10 Band,EQ,,
